NO_OF_FRAMES	1756
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:30:20.760	122502.14475260
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-303.668	53.674	397.620	417.620	75.804	399.796
-302.519	53.682	397.590	416.317	75.706	399.799
-301.356	53.677	397.610	415.065	75.630	399.742
-300.210	53.675	397.598	413.761	75.572	399.749
-299.012	53.668	397.590	412.486	75.521	399.704
-297.865	53.687	397.580	411.192	75.444	399.706
-296.683	53.685	397.583	409.905	75.384	399.725
-295.549	53.720	397.540	408.625	75.292	399.679
-294.373	53.722	397.562	407.351	75.209	399.677
-293.229	53.756	397.531	406.083	75.151	399.629
-292.060	53.752	397.546	404.769	75.093	399.633
-290.904	53.787	397.512	403.516	75.048	399.594
-289.749	53.801	397.536	402.198	74.979	399.625
-288.616	53.843	397.544	400.952	74.902	399.576
-287.471	53.878	397.561	399.656	74.844	399.576
