NO_OF_FRAMES	2126
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:11:39.923	117781.31538340
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-370.989	53.790	397.491	467.426	78.127	400.178
-369.537	53.864	397.514	465.908	78.097	400.158
-368.100	53.957	397.548	464.382	78.063	400.124
-366.664	54.007	397.545	462.836	77.980	400.144
-365.233	54.061	397.562	461.298	77.890	400.121
-363.816	54.104	397.547	459.758	77.806	400.100
-362.399	54.165	397.504	458.238	77.765	400.065
-360.955	54.194	397.506	456.727	77.721	400.050
-359.551	54.224	397.478	455.197	77.609	400.091
-358.146	54.236	397.495	453.657	77.509	400.080
-356.782	54.281	397.493	452.138	77.425	400.065
-355.404	54.329	397.528	450.629	77.388	400.046
-354.020	54.336	397.564	449.112	77.349	400.040
-352.624	54.337	397.553	447.573	77.253	400.051
-351.271	54.338	397.568	446.048	77.155	400.032
-349.924	54.356	397.561	444.499	77.072	399.996
-348.570	54.356	397.537	442.985	77.017	399.950
-347.183	54.333	397.541	441.472	76.961	399.970
-345.827	54.339	397.520	439.935	76.853	399.970
-344.469	54.352	397.500	438.415	76.774	399.953
-343.129	54.365	397.464	436.894	76.688	399.938
-341.770	54.357	397.449	435.362	76.628	399.935
-340.404	54.339	397.461	433.850	76.583	399.916
-339.063	54.339	397.474	432.318	76.501	399.919
-337.727	54.349	397.463	430.790	76.432	399.873
-336.369	54.317	397.472	429.241	76.343	399.874
-335.033	54.290	397.480	427.725	76.263	399.863
-333.681	54.289	397.509	426.236	76.197	399.852
-332.343	54.284	397.506	424.689	76.116	399.837
-331.017	54.264	397.513	423.149	76.044	399.813
-329.666	54.245	397.521	421.627	75.946	399.833
-328.306	54.224	397.540	420.125	75.894	399.813
-327.003	54.223	397.550	418.610	75.841	399.794
-325.666	54.220	397.529	417.051	75.770	399.801
-324.317	54.197	397.560	415.539	75.719	399.771
-322.961	54.170	397.576	414.022	75.625	399.757
-321.616	54.182	397.542	412.496	75.546	399.730
-320.278	54.171	397.529	410.962	75.474	399.743
