NO_OF_FRAMES	1844
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:08:10.435	117571.82842120
DATA_INCLUDED	3D
MARKER_NAMES	b
TRAJECTORY_TYPES	Measured
b X	b Y	b Z	
-209.351	59.032	396.906
-207.535	59.047	396.919
-205.730	59.059	396.901
-203.946	59.094	396.906
-202.162	59.136	396.915
-200.352	59.178	396.930
-198.555	59.204	396.954
-196.773	59.254	396.946
-194.966	59.304	396.946
-193.172	59.359	396.954
-191.401	59.406	396.961
-189.623	59.448	396.955
-187.846	59.517	396.952
-186.060	59.585	396.963
-184.283	59.659	396.966
-182.518	59.716	397.004
-180.720	59.794	396.981
-178.968	59.853	396.990
-177.195	59.920	396.996
-175.418	60.002	396.989
-173.645	60.079	397.027
-171.874	60.147	397.016
-170.110	60.243	396.998
-168.336	60.322	397.019
-166.564	60.396	397.018
-164.785	60.485	397.004
-163.010	60.548	397.035
-161.253	60.656	397.021
-159.476	60.715	397.032
-157.716	60.806	397.051
-155.927	60.888	397.038
-154.147	60.974	397.043
-152.369	61.072	397.066
-150.608	61.157	397.071
-148.855	61.246	397.095
-147.073	61.337	397.062
-145.298	61.391	397.047
-143.521	61.475	397.061
-141.749	61.574	397.066
-139.995	61.657	397.080
-138.216	61.750	397.077
-136.440	61.825	397.052
-134.674	61.879	397.086
-132.891	61.975	397.052
-131.147	62.041	397.086
-129.393	62.138	397.093
-127.645	62.215	397.093
-125.879	62.266	397.092
-124.099	62.310	397.089
-122.349	62.379	397.099
-120.598	62.454	397.110
-118.855	62.516	397.115
-117.109	62.567	397.148
-115.336	62.620	397.125
-113.601	62.654	397.129
-111.843	62.698	397.117
-110.084	62.741	397.108
-108.346	62.791	397.146
-106.601	62.815	397.122
-104.886	62.853	397.135
-103.141	62.900	397.142
-101.386	62.908	397.138
-99.664	62.933	397.145
-97.927	62.955	397.126
-96.187	62.967	397.135
-94.458	63.007	397.136
-92.708	63.027	397.136
-91.003	63.047	397.176
-89.272	63.067	397.161
-87.531	63.077	397.185
-85.801	63.111	397.177
-84.069	63.113	397.146
-82.350	63.127	397.172
-80.602	63.147	397.168
-78.870	63.162	397.196
-77.135	63.190	397.177
-75.409	63.208	397.175
-73.690	63.223	397.191
-71.946	63.252	397.216
-70.227	63.260	397.238
-68.494	63.275	397.209
-66.764	63.277	397.222
-65.039	63.315	397.213
-63.311	63.317	397.232
-61.600	63.340	397.232
-59.855	63.351	397.229
-58.126	63.378	397.256
-56.375	63.404	397.245
-54.667	63.414	397.296
-52.923	63.436	397.254
-51.203	63.444	397.258
-49.473	63.486	397.276
-47.738	63.494	397.233
-46.024	63.527	397.259
-44.264	63.568	397.229
-42.541	63.578	397.273
-40.805	63.629	397.266
-39.097	63.661	397.294
-37.370	63.719	397.282
-35.646	63.727	397.287
-33.914	63.774	397.306
-32.177	63.819	397.290
-30.471	63.858	397.307
-28.722	63.913	397.268
-27.026	63.972	397.344
-25.281	64.010	397.325
-23.574	64.068	397.354
-21.820	64.121	397.327
-20.104	64.166	397.348
-18.376	64.225	397.319
-16.662	64.273	397.321
-14.953	64.338	397.340
-13.239	64.392	397.347
-11.505	64.463	397.380
-9.767	64.539	397.377
-8.054	64.588	397.369
-6.348	64.643	397.352
-4.638	64.727	397.388
-2.914	64.800	397.399
-1.199	64.878	397.427
0.537	64.957	397.393
2.245	65.007	397.416
3.975	65.083	397.401
5.675	65.168	397.418
7.417	65.256	397.420
9.117	65.333	397.444
10.855	65.412	397.402
12.563	65.456	397.418
14.309	65.551	397.419
16.003	65.652	397.467
17.737	65.720	397.451
19.441	65.783	397.468
21.170	65.861	397.433
22.896	65.923	397.465
24.636	66.023	397.472
26.339	66.116	397.524
28.056	66.194	397.479
29.759	66.230	397.489
31.499	66.304	397.484
33.207	66.372	397.510
34.947	66.462	397.486
36.653	66.548	397.532
38.362	66.594	397.518
40.079	66.658	397.518
41.796	66.709	397.522
43.523	66.765	397.540
45.243	66.814	397.549
46.937	66.911	397.552
48.630	66.960	397.557
50.358	66.997	397.562
52.063	67.010	397.586
53.773	67.071	397.549
55.458	67.102	397.579
57.187	67.146	397.572
58.869	67.192	397.597
60.575	67.218	397.562
62.269	67.240	397.615
64.006	67.257	397.606
65.679	67.277	397.607
67.389	67.307	397.594
69.096	67.311	397.622
70.809	67.337	397.640
72.491	67.371	397.639
74.187	67.398	397.639
75.901	67.423	397.666
77.591	67.407	397.685
79.279	67.437	397.658
80.975	67.446	397.694
82.694	67.474	397.694
84.386	67.472	397.701
86.084	67.499	397.697
87.795	67.537	397.719
89.484	67.537	397.710
91.181	67.577	397.714
92.883	67.584	397.757
94.592	67.586	397.732
96.280	67.595	397.758
97.983	67.645	397.736
99.681	67.661	397.756
101.388	67.666	397.766
103.085	67.698	397.766
104.782	67.713	397.794
106.490	67.739	397.788
108.169	67.753	397.822
109.898	67.781	397.808
111.573	67.805	397.813
113.268	67.848	397.830
114.981	67.881	397.826
116.678	67.875	397.850
118.391	67.930	397.827
120.047	67.976	397.870
121.769	68.008	397.865
123.445	68.068	397.850
125.142	68.108	397.889
126.860	68.163	397.867
128.526	68.176	397.888
130.238	68.238	397.861
131.911	68.283	397.899
133.589	68.320	397.902
135.331	68.403	397.932
137.000	68.443	397.953
138.710	68.499	397.915
140.400	68.539	397.943
142.087	68.609	397.949
143.797	68.681	397.945
145.492	68.745	397.993
147.187	68.791	397.971
148.877	68.861	397.974
150.566	68.895	397.995
152.255	68.988	397.970
153.956	69.076	397.996
155.650	69.116	398.012
157.351	69.172	398.018
159.042	69.260	398.040
160.728	69.323	398.028
162.434	69.411	398.046
164.112	69.476	398.077
165.805	69.527	398.062
167.527	69.623	398.073
169.205	69.649	398.088
170.905	69.772	398.094
172.601	69.865	398.116
174.261	69.903	398.139
175.969	69.975	398.117
177.655	70.020	398.134
179.337	70.106	398.153
181.050	70.217	398.142
182.709	70.259	398.179
184.398	70.328	398.170
186.107	70.391	398.166
187.768	70.420	398.188
189.479	70.502	398.190
191.165	70.604	398.183
192.821	70.637	398.236
194.522	70.687	398.209
196.187	70.747	398.207
197.876	70.799	398.271
199.558	70.861	398.193
201.248	70.967	398.263
202.882	70.990	398.271
204.589	71.037	398.274
206.239	71.073	398.290
207.912	71.117	398.296
209.613	71.157	398.295
211.249	71.234	398.295
212.924	71.281	398.336
214.590	71.308	398.317
216.270	71.335	398.350
217.912	71.369	398.323
219.609	71.395	398.363
221.247	71.422	398.331
222.918	71.473	398.387
224.579	71.525	398.374
226.243	71.552	398.399
227.893	71.554	398.402
229.556	71.588	398.432
231.216	71.614	398.405
232.881	71.622	398.417
234.532	71.649	398.432
236.189	71.695	398.462
237.844	71.737	398.469
239.502	71.737	398.480
241.183	71.760	398.484
242.829	71.788	398.485
244.483	71.808	398.503
246.162	71.857	398.515
247.809	71.887	398.551
249.441	71.907	398.564
251.125	71.952	398.537
252.769	71.995	398.531
254.421	71.995	398.590
256.089	72.039	398.580
257.778	72.065	398.601
259.393	72.071	398.604
261.056	72.087	398.640
262.737	72.174	398.608
264.396	72.190	398.648
266.024	72.208	398.662
267.730	72.231	398.654
269.374	72.274	398.627
271.009	72.287	398.689
272.667	72.324	398.718
274.352	72.385	398.718
276.003	72.430	398.740
277.649	72.434	398.753
279.317	72.477	398.734
280.969	72.512	398.716
282.622	72.544	398.785
284.265	72.570	398.783
285.954	72.630	398.790
